"PackageName","DisplayName","IconUrl","LocalIconPath","ThirdParty","LatestVersion"
"com.oculus.vrshell","Meta Application Browser","","",false,""
"com.oculus.panelapp.library","Meta New Main Menu","","",false,""
"com.oculus.systemux","Meta System UX","","",false,""
"com.oculus.home","Meta Home","","",false,""
"com.oculus.avatar2","Meta Avatar","","",false,""
"com.oculus.guardian","Meta Guardian","","",false,""
"com.oculus.socialplatform","Meta Social Platform","","",false,""
"com.oculus.store","Meta Quest Store","","",false,""
"com.oculus.tv","Meta TV","","",false,""
"com.oculus.updater","Meta Quest Updater","","",false,""
"com.oculus.otherapp","Meta Quest","","",false,""
"com.oculus.keyboard","Meta Quest Keyboard","","",false,""
"com.oculus.browser","Meta Quest Browser","","",false,""
"com.oculus.fitnesstracker","Meta Fitness Tracker","","",false,""
"com.oculus.os.clearactivity","Meta Clear Activity","","",false,""
"com.oculus.permissionservice","Meta Permission Service","","",false,""
"com.oculus.devicecertification","Meta Device Certification","","",false,""
"com.oculus.experiences.cinema","Meta Horizon Venue","","",false,""
"com.oculus.accountscenter","Meta Accounts Center","","",false,""
"com.android.providers.settings","Android Settings Provider","","",false,""
"com.android.shell","Android Shell","","",false,""
"com.android.systemui","Android System UI","","",false,""
"com.anagan.qgo","Quest Game Optimizer","","",true,""

